drug1,drug2,cell,score,label
DOXORUBICIN,MK-2206,A375,22.14258923,1
DOXORUBICIN,MK-2206,A427,10.81924288,1
DOXORUBICIN,MK-2206,CAOV3,23.55710399,1
DOXORUBICIN,MK-2206,HT144,27.55803273,1
DOXORUBICIN,MK-2206,HT29,24.334338,1
DOXORUBICIN,MK-2206,KPL1,29.00547602,1
DOXORUBICIN,MK-2206,LNCAP,21.60217673,1
DOXORUBICIN,MK-2206,LOVO,22.72333325,1
DOXORUBICIN,MK-2206,MSTO,12.82551179,1
DOXORUBICIN,MK-2206,NCIH1650,26.88657696,1
DOXORUBICIN,MK-2206,NCIH2122,13.72984905,1
DOXORUBICIN,MK-2206,NCIH460,34.74622446,1
DOXORUBICIN,MK-2206,RKO,21.87779765,1
DOXORUBICIN,MK-2206,RPMI7951,-2.156404298,0
DOXORUBICIN,MK-2206,SKMEL30,14.3452287,1
DOXORUBICIN,MK-2206,SKMES1,25.29848232,1
DOXORUBICIN,MK-2206,SW620,18.67749944,1
DOXORUBICIN,MK-2206,SW837,23.6053657,1
DOXORUBICIN,MK-2206,T47D,35.67707513,1
DOXORUBICIN,MK-2206,UACC62,23.35116755,1
DOXORUBICIN,MK-2206,VCAP,26.36028697,1
DOXORUBICIN,MK-2206,ZR751,16.42969908,1
DOXORUBICIN,MK-4827,A2058,-12.54308836,0
DOXORUBICIN,MK-4827,A2780,-0.525539308,0
DOXORUBICIN,MK-4827,A375,-4.141301817,0
DOXORUBICIN,MK-4827,A427,-9.90837312,0
DOXORUBICIN,MK-4827,ES2,-14.29408631,0
DOXORUBICIN,MK-4827,HCT116,-12.83102695,0
DOXORUBICIN,MK-4827,HT144,-4.82115412,0
DOXORUBICIN,MK-4827,HT29,-8.006011483,0
DOXORUBICIN,MK-4827,KPL1,-4.806152324,0
DOXORUBICIN,MK-4827,LNCAP,-3.262982719,0
DOXORUBICIN,MK-4827,LOVO,-9.400356578,0
DOXORUBICIN,MK-4827,MDAMB436,-6.414075394,0
DOXORUBICIN,MK-4827,MSTO,-7.551127035,0
DOXORUBICIN,MK-4827,NCIH2122,-7.278090018,0
DOXORUBICIN,MK-4827,NCIH23,-2.940606275,0
DOXORUBICIN,MK-4827,OV90,-27.38243703,0
DOXORUBICIN,MK-4827,RKO,-0.011282321,0
DOXORUBICIN,MK-4827,RPMI7951,-9.422881614,0
DOXORUBICIN,MK-4827,SKMES1,-0.733084804,0
DOXORUBICIN,MK-4827,SKOV3,-17.73927653,0
DOXORUBICIN,MK-4827,SW620,-1.057761564,0
DOXORUBICIN,MK-4827,SW837,-21.08137786,0
DOXORUBICIN,MK-4827,T47D,21.05152592,1
DOXORUBICIN,MK-4827,UACC62,-4.303836465,0
DOXORUBICIN,MK-4827,ZR751,-4.896083679,0
DOXORUBICIN,MK-5108,A2058,-6.211030489,0
DOXORUBICIN,MK-5108,A2780,-0.700420475,0
DOXORUBICIN,MK-5108,A375,-5.046413147,0
DOXORUBICIN,MK-5108,A427,-18.570381,0
DOXORUBICIN,MK-5108,CAOV3,-0.779824948,0
DOXORUBICIN,MK-5108,ES2,-0.382493989,0
DOXORUBICIN,MK-5108,HT144,-11.66929395,0
DOXORUBICIN,MK-5108,HT29,10.70703629,1
DOXORUBICIN,MK-5108,KPL1,-10.05356729,0
DOXORUBICIN,MK-5108,LNCAP,-17.37521122,0
DOXORUBICIN,MK-5108,LOVO,-11.25304566,0
DOXORUBICIN,MK-5108,MSTO,-6.62379424,0
DOXORUBICIN,MK-5108,NCIH1650,-7.500639765,0
DOXORUBICIN,MK-5108,NCIH2122,-18.33430727,0
DOXORUBICIN,MK-5108,NCIH460,-12.25201478,0
DOXORUBICIN,MK-5108,NCIH520,-21.05570493,0
DOXORUBICIN,MK-5108,OV90,-6.920991401,0
DOXORUBICIN,MK-5108,RKO,-1.57995793,0
DOXORUBICIN,MK-5108,SKMES1,-24.07595167,0
DOXORUBICIN,MK-5108,SKOV3,-17.5550089,0
DOXORUBICIN,MK-5108,SW837,-7.514199736,0
DOXORUBICIN,MK-5108,UACC62,-12.96697781,0
DOXORUBICIN,MK-5108,VCAP,-9.384556697,0
DOXORUBICIN,MK-5108,ZR751,-10.85528899,0
DOXORUBICIN,MK-8669,A2058,-10.49023254,0
DOXORUBICIN,MK-8669,A2780,12.4297667,1
DOXORUBICIN,MK-8669,A375,14.93568694,1
DOXORUBICIN,MK-8669,A427,11.25585684,1
DOXORUBICIN,MK-8669,HCT116,-2.782156497,0
DOXORUBICIN,MK-8669,HT144,30.46098996,1
DOXORUBICIN,MK-8669,HT29,22.99768644,1
DOXORUBICIN,MK-8669,KPL1,29.96509813,1
DOXORUBICIN,MK-8669,LNCAP,32.08194968,1
DOXORUBICIN,MK-8669,LOVO,10.03151198,1
DOXORUBICIN,MK-8669,MSTO,16.89800123,1
DOXORUBICIN,MK-8669,NCIH1650,41.18662302,1
DOXORUBICIN,MK-8669,NCIH2122,-4.838154392,0
DOXORUBICIN,MK-8669,NCIH23,-9.720468871,0
DOXORUBICIN,MK-8669,NCIH460,11.49865295,1
DOXORUBICIN,MK-8669,RKO,18.23017812,1
DOXORUBICIN,MK-8669,RPMI7951,-5.311772199,0
DOXORUBICIN,MK-8669,SKMEL30,21.17126116,1
DOXORUBICIN,MK-8669,SKMES1,15.12259291,1
DOXORUBICIN,MK-8669,SKOV3,32.25572773,1
DOXORUBICIN,MK-8669,SW620,12.59972413,1
DOXORUBICIN,MK-8669,SW837,10.75959788,1
DOXORUBICIN,MK-8669,T47D,37.87194371,1
DOXORUBICIN,MK-8669,UACC62,19.74975123,1
DOXORUBICIN,MK-8669,VCAP,26.28132634,1
DOXORUBICIN,MK-8669,ZR751,20.06848199,1
DOXORUBICIN,MK-8776,A2058,16.68723048,1
DOXORUBICIN,MK-8776,A375,25.26990432,1
DOXORUBICIN,MK-8776,A427,-1.662979573,0
DOXORUBICIN,MK-8776,CAOV3,10.43048062,1
DOXORUBICIN,MK-8776,ES2,22.03868685,1
DOXORUBICIN,MK-8776,HT144,20.61004647,1
DOXORUBICIN,MK-8776,HT29,36.72789817,1
DOXORUBICIN,MK-8776,KPL1,-7.506913939,0
DOXORUBICIN,MK-8776,LNCAP,-5.664661257,0
DOXORUBICIN,MK-8776,LOVO,11.16793224,1
DOXORUBICIN,MK-8776,MDAMB436,19.93213089,1
DOXORUBICIN,MK-8776,MSTO,-4.799551324,0
DOXORUBICIN,MK-8776,NCIH1650,24.5143169,1
DOXORUBICIN,MK-8776,NCIH2122,-12.51493838,0
DOXORUBICIN,MK-8776,NCIH520,24.53717622,1
DOXORUBICIN,MK-8776,OV90,-1.591375892,0
DOXORUBICIN,MK-8776,RKO,-5.493759816,0
DOXORUBICIN,MK-8776,RPMI7951,-0.848725062,0
DOXORUBICIN,MK-8776,SKMEL30,37.95548534,1
DOXORUBICIN,MK-8776,SKMES1,-15.15977039,0
DOXORUBICIN,MK-8776,SKOV3,12.01480757,1
DOXORUBICIN,MK-8776,SW620,-4.565436589,0
DOXORUBICIN,MK-8776,T47D,-2.770384063,0
DOXORUBICIN,MK-8776,VCAP,23.08072424,1
DOXORUBICIN,MK-8776,ZR751,-0.508321351,0
DOXORUBICIN,PD325901,A2058,12.39260362,1
DOXORUBICIN,PD325901,A2780,18.35160994,1
DOXORUBICIN,PD325901,ES2,13.13454868,1
DOXORUBICIN,PD325901,MDAMB436,-6.600059697,0
DOXORUBICIN,PD325901,MSTO,-24.77537839,0
DOXORUBICIN,PD325901,NCIH2122,-2.101771211,0
DOXORUBICIN,PD325901,NCIH460,28.33583948,1
DOXORUBICIN,PD325901,NCIH520,-27.66661757,0
DOXORUBICIN,PD325901,RKO,16.12484868,1
DOXORUBICIN,PD325901,RPMI7951,-9.30258192,0
DOXORUBICIN,PD325901,SKMEL30,-24.51115165,0
DOXORUBICIN,PD325901,SKMES1,-5.77581247,0
DOXORUBICIN,PD325901,SKOV3,-4.445761682,0
DOXORUBICIN,PD325901,SW620,13.7226596,1
DOXORUBICIN,PD325901,SW837,13.15602222,1
DOXORUBICIN,PD325901,T47D,11.75903266,1
DOXORUBICIN,PD325901,VCAP,14.0075114,1
DOXORUBICIN,PD325901,ZR751,10.77925225,1
DOXORUBICIN,SORAFENIB,A2058,-4.862590299,0
DOXORUBICIN,SORAFENIB,A2780,-3.553426077,0
DOXORUBICIN,SORAFENIB,A375,-46.04624136,0
DOXORUBICIN,SORAFENIB,A427,-4.134505899,0
DOXORUBICIN,SORAFENIB,CAOV3,-11.89438771,0
DOXORUBICIN,SORAFENIB,ES2,-11.95953971,0
DOXORUBICIN,SORAFENIB,HCT116,-12.93846288,0
DOXORUBICIN,SORAFENIB,HT144,-4.139761502,0
DOXORUBICIN,SORAFENIB,HT29,-13.3605129,0
DOXORUBICIN,SORAFENIB,KPL1,-8.141778775,0
DOXORUBICIN,SORAFENIB,LNCAP,-10.73493807,0
DOXORUBICIN,SORAFENIB,LOVO,-15.29786353,0
DOXORUBICIN,SORAFENIB,MDAMB436,-16.18892584,0
DOXORUBICIN,SORAFENIB,MSTO,-9.51380606,0
DOXORUBICIN,SORAFENIB,NCIH1650,-22.85367654,0
DOXORUBICIN,SORAFENIB,NCIH2122,-12.79070237,0
DOXORUBICIN,SORAFENIB,NCIH23,-13.26867902,0
DOXORUBICIN,SORAFENIB,NCIH460,-1.644792192,0
DOXORUBICIN,SORAFENIB,NCIH520,-6.61710691,0
DOXORUBICIN,SORAFENIB,OV90,-14.13044098,0
DOXORUBICIN,SORAFENIB,RKO,-12.0189401,0
DOXORUBICIN,SORAFENIB,RPMI7951,-16.13219697,0
DOXORUBICIN,SORAFENIB,SKMEL30,-5.768527904,0
DOXORUBICIN,SORAFENIB,SKMES1,-19.00794257,0
DOXORUBICIN,SORAFENIB,SKOV3,-22.50246654,0
DOXORUBICIN,SORAFENIB,SW620,-5.600374644,0
DOXORUBICIN,SORAFENIB,SW837,-17.63687925,0
DOXORUBICIN,SORAFENIB,T47D,-2.845453918,0
DOXORUBICIN,SORAFENIB,UACC62,-8.296192939,0
DOXORUBICIN,SORAFENIB,VCAP,-17.31329588,0
DOXORUBICIN,SORAFENIB,ZR751,-18.74222054,0
DOXORUBICIN,SUNITINIB,A2058,-3.166045586,0
DOXORUBICIN,SUNITINIB,A2780,-2.462325515,0
DOXORUBICIN,SUNITINIB,A375,-31.96588485,0
DOXORUBICIN,SUNITINIB,CAOV3,-2.451066553,0
DOXORUBICIN,SUNITINIB,ES2,-4.527319575,0
DOXORUBICIN,SUNITINIB,HCT116,-8.328886761,0
DOXORUBICIN,SUNITINIB,HT144,-4.610397019,0
DOXORUBICIN,SUNITINIB,HT29,-7.942580167,0
DOXORUBICIN,SUNITINIB,LNCAP,-23.84764824,0
DOXORUBICIN,SUNITINIB,LOVO,-2.036964087,0
DOXORUBICIN,SUNITINIB,MDAMB436,-6.431261859,0
DOXORUBICIN,SUNITINIB,MSTO,-14.56283254,0
DOXORUBICIN,SUNITINIB,NCIH1650,-1.246172213,0
DOXORUBICIN,SUNITINIB,NCIH2122,-4.384007835,0
DOXORUBICIN,SUNITINIB,NCIH23,-15.54788956,0
DOXORUBICIN,SUNITINIB,NCIH460,-1.466898108,0
DOXORUBICIN,SUNITINIB,NCIH520,-10.66924847,0
DOXORUBICIN,SUNITINIB,OV90,-12.69968245,0
DOXORUBICIN,SUNITINIB,RKO,-9.807447258,0
DOXORUBICIN,SUNITINIB,RPMI7951,-12.95040498,0
DOXORUBICIN,SUNITINIB,SKMEL30,-4.046160182,0
DOXORUBICIN,SUNITINIB,SKMES1,-16.63118696,0
DOXORUBICIN,SUNITINIB,SKOV3,-14.38319177,0
DOXORUBICIN,SUNITINIB,SW837,-3.256295775,0
DOXORUBICIN,SUNITINIB,T47D,-12.09784645,0
DOXORUBICIN,SUNITINIB,UACC62,-1.840751973,0
DOXORUBICIN,SUNITINIB,VCAP,-4.059515997,0
DOXORUBICIN,SUNITINIB,ZR751,-6.11998313,0
DOXORUBICIN,TEMOZOLOMIDE,A2058,-8.536224943,0
DOXORUBICIN,TEMOZOLOMIDE,A375,-5.917122875,0
DOXORUBICIN,TEMOZOLOMIDE,CAOV3,-0.88117833,0
DOXORUBICIN,TEMOZOLOMIDE,HT144,-1.193602735,0
DOXORUBICIN,TEMOZOLOMIDE,KPL1,-17.7321459,0
DOXORUBICIN,TEMOZOLOMIDE,LNCAP,-9.901758516,0
DOXORUBICIN,TEMOZOLOMIDE,LOVO,-0.185936484,0
DOXORUBICIN,TEMOZOLOMIDE,MDAMB436,-12.98371133,0
DOXORUBICIN,TEMOZOLOMIDE,MSTO,-0.439918414,0
DOXORUBICIN,TEMOZOLOMIDE,NCIH2122,-11.3086724,0
DOXORUBICIN,TEMOZOLOMIDE,NCIH520,-4.918525302,0
DOXORUBICIN,TEMOZOLOMIDE,OV90,-3.615693015,0
DOXORUBICIN,TEMOZOLOMIDE,RKO,-0.410601452,0
DOXORUBICIN,TEMOZOLOMIDE,RPMI7951,-1.889011346,0
DOXORUBICIN,TEMOZOLOMIDE,SKMEL30,10.48805015,1
DOXORUBICIN,TEMOZOLOMIDE,SKOV3,-8.797238208,0
DOXORUBICIN,TEMOZOLOMIDE,SW837,-13.32181269,0
DOXORUBICIN,TEMOZOLOMIDE,UACC62,-18.9433129,0
DOXORUBICIN,TEMOZOLOMIDE,VCAP,11.61955498,1
DOXORUBICIN,TEMOZOLOMIDE,ZR751,-13.27729077,0
DOXORUBICIN,ZOLINZA,A375,12.85459394,1
DOXORUBICIN,ZOLINZA,A427,-11.11280124,0
DOXORUBICIN,ZOLINZA,CAOV3,-6.281497285,0
DOXORUBICIN,ZOLINZA,ES2,14.05256078,1
DOXORUBICIN,ZOLINZA,HCT116,-5.2901855,0
DOXORUBICIN,ZOLINZA,HT29,24.56828323,1
DOXORUBICIN,ZOLINZA,KPL1,-7.140546993,0
DOXORUBICIN,ZOLINZA,LNCAP,25.43427623,1
DOXORUBICIN,ZOLINZA,MSTO,11.73760282,1
DOXORUBICIN,ZOLINZA,NCIH23,-2.429277099,0
DOXORUBICIN,ZOLINZA,NCIH460,13.40511074,1
DOXORUBICIN,ZOLINZA,NCIH520,-6.127481674,0
DOXORUBICIN,ZOLINZA,OV90,-0.036322098,0
DOXORUBICIN,ZOLINZA,RKO,-2.881661544,0
DOXORUBICIN,ZOLINZA,RPMI7951,-3.295385102,0
DOXORUBICIN,ZOLINZA,SKMEL30,-0.176543302,0
DOXORUBICIN,ZOLINZA,SKMES1,13.76353732,1
DOXORUBICIN,ZOLINZA,SKOV3,22.25581931,1
DOXORUBICIN,ZOLINZA,SW620,-2.414926132,0
DOXORUBICIN,ZOLINZA,T47D,22.84665169,1
DOXORUBICIN,ZOLINZA,VCAP,18.61639583,1
ERLOTINIB,ABT-888,A375,-1.887476573,0
ERLOTINIB,ABT-888,A427,-1.926503305,0
ERLOTINIB,ABT-888,ES2,-12.43349741,0
ERLOTINIB,ABT-888,HCT116,-3.424746588,0
ERLOTINIB,ABT-888,HT144,-5.994644575,0
ERLOTINIB,ABT-888,HT29,-11.26311941,0
ERLOTINIB,ABT-888,KPL1,-2.182880996,0
ERLOTINIB,ABT-888,LNCAP,-23.8823541,0
ERLOTINIB,ABT-888,MSTO,52.03256407,1
ERLOTINIB,ABT-888,NCIH1650,-7.117012472,0
ERLOTINIB,ABT-888,NCIH23,-4.735547822,0
ERLOTINIB,ABT-888,NCIH460,-6.515653333,0
ERLOTINIB,ABT-888,NCIH520,-3.76865619,0
ERLOTINIB,ABT-888,OV90,-13.32020911,0
ERLOTINIB,ABT-888,RKO,-5.955965421,0
ERLOTINIB,ABT-888,RPMI7951,-8.09310882,0
ERLOTINIB,ABT-888,SKMEL30,-1.277147404,0
ERLOTINIB,ABT-888,SW620,-11.64468066,0
ERLOTINIB,ABT-888,T47D,-14.15331149,0
ERLOTINIB,ABT-888,UACC62,-8.248065955,0
ERLOTINIB,ABT-888,VCAP,-17.27573982,0
ERLOTINIB,ABT-888,ZR751,-1.402435654,0
ERLOTINIB,BEZ-235,A2058,30.44723473,1
ERLOTINIB,BEZ-235,A2780,32.9904113,1
ERLOTINIB,BEZ-235,A375,32.79138222,1
ERLOTINIB,BEZ-235,A427,24.82046387,1
ERLOTINIB,BEZ-235,CAOV3,53.23611483,1
ERLOTINIB,BEZ-235,ES2,13.49243273,1
ERLOTINIB,BEZ-235,HCT116,40.74023865,1
ERLOTINIB,BEZ-235,HT29,37.24732576,1
ERLOTINIB,BEZ-235,KPL1,31.23105824,1
ERLOTINIB,BEZ-235,LNCAP,85.15352215,1
ERLOTINIB,BEZ-235,LOVO,38.90157501,1
ERLOTINIB,BEZ-235,MDAMB436,34.3614618,1
ERLOTINIB,BEZ-235,MSTO,40.76447271,1
ERLOTINIB,BEZ-235,NCIH1650,26.76837282,1
ERLOTINIB,BEZ-235,NCIH2122,53.94195019,1
ERLOTINIB,BEZ-235,NCIH23,30.39517847,1
ERLOTINIB,BEZ-235,NCIH460,34.65177323,1
ERLOTINIB,BEZ-235,NCIH520,36.29686721,1
ERLOTINIB,BEZ-235,OV90,23.65798387,1
ERLOTINIB,BEZ-235,RKO,12.93696265,1
ERLOTINIB,BEZ-235,RPMI7951,33.10748025,1
ERLOTINIB,BEZ-235,SKMEL30,40.3172508,1
ERLOTINIB,BEZ-235,SKMES1,40.10436985,1
ERLOTINIB,BEZ-235,SKOV3,33.22300939,1
ERLOTINIB,BEZ-235,SW620,12.78686077,1
ERLOTINIB,BEZ-235,SW837,48.23512601,1
ERLOTINIB,BEZ-235,T47D,141.790374,1
ERLOTINIB,BEZ-235,UACC62,21.03592517,1
ERLOTINIB,BEZ-235,VCAP,29.05193526,1
ERLOTINIB,BEZ-235,ZR751,52.1263634,1
ERLOTINIB,BORTEZOMIB,A2058,-1.029009573,0
ERLOTINIB,BORTEZOMIB,A2780,-23.08608321,0
ERLOTINIB,BORTEZOMIB,A375,25.53971155,1
ERLOTINIB,BORTEZOMIB,A427,-15.65410165,0
ERLOTINIB,BORTEZOMIB,CAOV3,-18.43407369,0
ERLOTINIB,BORTEZOMIB,ES2,-22.64897131,0
ERLOTINIB,BORTEZOMIB,HT144,-16.19947167,0
ERLOTINIB,BORTEZOMIB,HT29,-14.92795583,0
ERLOTINIB,BORTEZOMIB,LNCAP,-17.80210878,0
ERLOTINIB,BORTEZOMIB,MDAMB436,-6.150347221,0
ERLOTINIB,BORTEZOMIB,MSTO,29.00394489,1
ERLOTINIB,BORTEZOMIB,NCIH1650,-14.2940195,0
ERLOTINIB,BORTEZOMIB,NCIH2122,-3.425737389,0
ERLOTINIB,BORTEZOMIB,NCIH23,-6.601665315,0
ERLOTINIB,BORTEZOMIB,NCIH520,-23.84255611,0
ERLOTINIB,BORTEZOMIB,OV90,-10.51068817,0
ERLOTINIB,BORTEZOMIB,RKO,12.72509864,1
ERLOTINIB,BORTEZOMIB,RPMI7951,-16.84735374,0
ERLOTINIB,BORTEZOMIB,SKMES1,-11.42040437,0
ERLOTINIB,BORTEZOMIB,SKOV3,-6.234852767,0
ERLOTINIB,BORTEZOMIB,SW837,29.48258491,1
ERLOTINIB,BORTEZOMIB,T47D,-42.70233051,0
ERLOTINIB,BORTEZOMIB,UACC62,-20.68908184,0
ERLOTINIB,BORTEZOMIB,VCAP,12.84897078,1
ERLOTINIB,BORTEZOMIB,ZR751,13.7066596,1
ERLOTINIB,DASATINIB,A2058,50.85612673,1
ERLOTINIB,DASATINIB,A2780,55.7433202,1
ERLOTINIB,DASATINIB,A427,67.02852359,1
ERLOTINIB,DASATINIB,CAOV3,35.76292632,1
ERLOTINIB,DASATINIB,ES2,12.7782884,1
ERLOTINIB,DASATINIB,HCT116,-2.842623837,0
ERLOTINIB,DASATINIB,HT144,-44.27131648,0
ERLOTINIB,DASATINIB,HT29,26.65382131,1
ERLOTINIB,DASATINIB,KPL1,-4.168161385,0
ERLOTINIB,DASATINIB,LNCAP,30.85505426,1
ERLOTINIB,DASATINIB,LOVO,39.95268983,1
ERLOTINIB,DASATINIB,MDAMB436,20.86509131,1
ERLOTINIB,DASATINIB,MSTO,-112.7046695,0
ERLOTINIB,DASATINIB,NCIH1650,61.58695742,1
ERLOTINIB,DASATINIB,NCIH2122,-6.547239182,0
ERLOTINIB,DASATINIB,NCIH23,21.80651781,1
ERLOTINIB,DASATINIB,NCIH460,10.24858768,1
ERLOTINIB,DASATINIB,NCIH520,48.936706,1
ERLOTINIB,DASATINIB,OV90,15.20127919,1
ERLOTINIB,DASATINIB,RKO,11.2554584,1
ERLOTINIB,DASATINIB,RPMI7951,20.22782323,1
ERLOTINIB,DASATINIB,SKMEL30,-20.14259668,0
ERLOTINIB,DASATINIB,SKMES1,55.34476194,1
ERLOTINIB,DASATINIB,SKOV3,34.88545929,1
ERLOTINIB,DASATINIB,SW620,31.19986694,1
ERLOTINIB,DASATINIB,SW837,55.38902039,1
ERLOTINIB,DASATINIB,T47D,18.30709922,1
ERLOTINIB,DASATINIB,UACC62,30.71440017,1
ERLOTINIB,DASATINIB,VCAP,19.84983708,1
ERLOTINIB,DASATINIB,ZR751,-53.72833547,0
ERLOTINIB,DINACICLIB,A427,-3.548762589,0
ERLOTINIB,DINACICLIB,CAOV3,-5.815744842,0
ERLOTINIB,DINACICLIB,HT29,-3.655231977,0
ERLOTINIB,DINACICLIB,LNCAP,25.47660754,1
ERLOTINIB,DINACICLIB,MDAMB436,-5.376299308,0
ERLOTINIB,DINACICLIB,MSTO,-45.42477831,0
ERLOTINIB,DINACICLIB,NCIH2122,20.25445639,1
ERLOTINIB,DINACICLIB,NCIH23,14.23459108,1
ERLOTINIB,DINACICLIB,NCIH460,13.59767958,1
ERLOTINIB,DINACICLIB,NCIH520,18.87978477,1
ERLOTINIB,DINACICLIB,SKMES1,10.47137421,1
ERLOTINIB,DINACICLIB,SKOV3,-2.90630388,0
ERLOTINIB,DINACICLIB,SW620,-8.866955639,0
ERLOTINIB,DINACICLIB,SW837,18.12131524,1
ERLOTINIB,DINACICLIB,T47D,-1.093565722,0
ERLOTINIB,DINACICLIB,UACC62,13.68510083,1
ERLOTINIB,DINACICLIB,VCAP,32.25620878,1
ERLOTINIB,DINACICLIB,ZR751,13.8918059,1
ERLOTINIB,GELDANAMYCIN,A2058,19.85832894,1
ERLOTINIB,GELDANAMYCIN,A2780,-0.606103969,0
ERLOTINIB,GELDANAMYCIN,A375,36.18756156,1
ERLOTINIB,GELDANAMYCIN,A427,-3.759599548,0
ERLOTINIB,GELDANAMYCIN,ES2,-3.059834643,0
ERLOTINIB,GELDANAMYCIN,HCT116,41.62495754,1
ERLOTINIB,GELDANAMYCIN,HT144,15.66375655,1
ERLOTINIB,GELDANAMYCIN,LNCAP,18.1382983,1
ERLOTINIB,GELDANAMYCIN,LOVO,-2.718358817,0
ERLOTINIB,GELDANAMYCIN,MDAMB436,16.84856589,1
ERLOTINIB,GELDANAMYCIN,MSTO,-22.21185453,0
ERLOTINIB,GELDANAMYCIN,NCIH1650,15.16674413,1
ERLOTINIB,GELDANAMYCIN,NCIH2122,14.00819815,1
ERLOTINIB,GELDANAMYCIN,NCIH460,19.6340789,1
ERLOTINIB,GELDANAMYCIN,NCIH520,14.49662936,1
ERLOTINIB,GELDANAMYCIN,OV90,-8.956888638,0
ERLOTINIB,GELDANAMYCIN,RPMI7951,-10.72328848,0
ERLOTINIB,GELDANAMYCIN,SKMES1,22.27090141,1
ERLOTINIB,GELDANAMYCIN,SW620,-8.082114571,0
ERLOTINIB,GELDANAMYCIN,T47D,14.68821763,1
ERLOTINIB,GELDANAMYCIN,UACC62,11.9198049,1
ERLOTINIB,MK-8669,A2058,52.26171598,1
ERLOTINIB,MK-8669,A2780,36.23987344,1
ERLOTINIB,MK-8669,A375,56.66491207,1
ERLOTINIB,MK-8669,A427,32.50271138,1
ERLOTINIB,MK-8669,CAOV3,62.65781411,1
ERLOTINIB,MK-8669,ES2,44.9903576,1
ERLOTINIB,MK-8669,HCT116,18.10165268,1
ERLOTINIB,MK-8669,HT144,36.79371745,1
ERLOTINIB,MK-8669,HT29,31.57708029,1
ERLOTINIB,MK-8669,KPL1,46.75582861,1
ERLOTINIB,MK-8669,LNCAP,28.7507326,1
ERLOTINIB,MK-8669,LOVO,47.34442041,1
ERLOTINIB,MK-8669,MDAMB436,26.64170048,1
ERLOTINIB,MK-8669,MSTO,-137.2614159,0
ERLOTINIB,MK-8669,NCIH1650,18.00313731,1
ERLOTINIB,MK-8669,NCIH2122,45.29161162,1
ERLOTINIB,MK-8669,NCIH23,40.58409884,1
ERLOTINIB,MK-8669,NCIH460,42.49559207,1
ERLOTINIB,MK-8669,NCIH520,20.02741966,1
ERLOTINIB,MK-8669,OV90,42.80120535,1
ERLOTINIB,MK-8669,RKO,38.54313446,1
ERLOTINIB,MK-8669,RPMI7951,42.44759178,1
ERLOTINIB,MK-8669,SKMEL30,62.09326122,1
ERLOTINIB,MK-8669,SKMES1,32.10376803,1
ERLOTINIB,MK-8669,SKOV3,60.90617431,1
ERLOTINIB,MK-8669,SW620,21.62925184,1
ERLOTINIB,MK-8669,SW837,34.68853378,1
ERLOTINIB,MK-8669,T47D,54.65479081,1
ERLOTINIB,MK-8669,UACC62,60.95019851,1
ERLOTINIB,MK-8669,VCAP,17.97298939,1
ERLOTINIB,MK-8669,ZR751,71.43896439,1
ERLOTINIB,MK-8776,A2058,24.12947014,1
ERLOTINIB,MK-8776,A2780,29.21281262,1
ERLOTINIB,MK-8776,A375,37.74995952,1
ERLOTINIB,MK-8776,A427,14.76047621,1
ERLOTINIB,MK-8776,CAOV3,40.45472172,1
ERLOTINIB,MK-8776,ES2,16.86659722,1
ERLOTINIB,MK-8776,HCT116,24.7554418,1
ERLOTINIB,MK-8776,KPL1,-3.593734348,0
ERLOTINIB,MK-8776,LNCAP,25.76972227,1
ERLOTINIB,MK-8776,LOVO,21.94775464,1
ERLOTINIB,MK-8776,MSTO,-7.71071645,0
ERLOTINIB,MK-8776,NCIH1650,-3.636385703,0
ERLOTINIB,MK-8776,NCIH2122,-2.554158487,0
ERLOTINIB,MK-8776,NCIH23,10.59252115,1
ERLOTINIB,MK-8776,SKMEL30,24.93792278,1
ERLOTINIB,MK-8776,SKOV3,22.04840298,1
ERLOTINIB,MK-8776,SW837,18.80623158,1
ERLOTINIB,MK-8776,T47D,-10.08431033,0
ERLOTINIB,MK-8776,UACC62,28.02400498,1
ERLOTINIB,MK-8776,VCAP,24.72858795,1
ERLOTINIB,MK-8776,ZR751,15.13151289,1
ERLOTINIB,PD325901,A2780,26.39128639,1
ERLOTINIB,PD325901,A375,26.85035826,1
ERLOTINIB,PD325901,CAOV3,46.93900496,1
ERLOTINIB,PD325901,ES2,13.99076212,1
ERLOTINIB,PD325901,HT144,14.38849744,1
ERLOTINIB,PD325901,HT29,11.09244446,1
ERLOTINIB,PD325901,KPL1,-3.623375924,0
ERLOTINIB,PD325901,LNCAP,-5.865411183,0
ERLOTINIB,PD325901,LOVO,37.16879127,1
ERLOTINIB,PD325901,MSTO,-17.33461973,0
ERLOTINIB,PD325901,NCIH1650,11.75798255,1
ERLOTINIB,PD325901,NCIH2122,63.43808914,1
ERLOTINIB,PD325901,NCIH460,17.65291422,1
ERLOTINIB,PD325901,NCIH520,-4.567846787,0
ERLOTINIB,PD325901,OV90,-5.053683079,0
ERLOTINIB,PD325901,SKMES1,26.85479765,1
ERLOTINIB,PD325901,SKOV3,11.59275062,1
ERLOTINIB,PD325901,SW620,-10.3945433,0
ERLOTINIB,PD325901,SW837,31.64566875,1
ERLOTINIB,PD325901,T47D,-32.78744411,0
ERLOTINIB,PD325901,VCAP,-1.164693008,0
ERLOTINIB,PD325901,ZR751,32.23841884,1
ERLOTINIB,SN-38,A2058,14.2345544,1
